order_id,date,time,Round Of Time,Month,weekday basis on Date
1,01-01-2015,11:38:36,11:00:00,January,Thursday
2,01-01-2015,11:57:40,11:00:00,January,Thursday
3,01-01-2015,12:12:28,12:00:00,January,Thursday
4,01-01-2015,12:16:31,12:00:00,January,Thursday
5,01-01-2015,12:21:30,12:00:00,January,Thursday
6,01-01-2015,12:29:36,12:00:00,January,Thursday
7,01-01-2015,12:50:37,12:00:00,January,Thursday
8,01-01-2015,12:51:37,12:00:00,January,Thursday
9,01-01-2015,12:52:01,12:00:00,January,Thursday
10,01-01-2015,13:00:15,13:00:00,January,Thursday
11,01-01-2015,13:02:59,13:00:00,January,Thursday
12,01-01-2015,13:04:41,13:00:00,January,Thursday
13,01-01-2015,13:11:55,13:00:00,January,Thursday
14,01-01-2015,13:14:19,13:00:00,January,Thursday
15,01-01-2015,13:33:00,13:00:00,January,Thursday
16,01-01-2015,13:34:07,13:00:00,January,Thursday
17,01-01-2015,13:53:00,13:00:00,January,Thursday
18,01-01-2015,13:57:08,13:00:00,January,Thursday
19,01-01-2015,13:59:09,13:00:00,January,Thursday
20,01-01-2015,14:03:08,14:00:00,January,Thursday
21,01-01-2015,14:14:29,14:00:00,January,Thursday
22,01-01-2015,14:16:26,14:00:00,January,Thursday
23,01-01-2015,14:19:03,14:00:00,January,Thursday
24,01-01-2015,14:23:01,14:00:00,January,Thursday
25,01-01-2015,14:44:44,14:00:00,January,Thursday
26,01-01-2015,14:54:26,14:00:00,January,Thursday
27,01-01-2015,15:11:17,15:00:00,January,Thursday
28,01-01-2015,15:35:46,15:00:00,January,Thursday
29,01-01-2015,15:41:01,15:00:00,January,Thursday
30,01-01-2015,15:41:25,15:00:00,January,Thursday
31,01-01-2015,15:50:18,15:00:00,January,Thursday
32,01-01-2015,15:53:18,15:00:00,January,Thursday
33,01-01-2015,15:54:08,15:00:00,January,Thursday
34,01-01-2015,16:21:21,16:00:00,January,Thursday
35,01-01-2015,16:32:04,16:00:00,January,Thursday
36,01-01-2015,16:54:09,16:00:00,January,Thursday
37,01-01-2015,16:56:09,16:00:00,January,Thursday
38,01-01-2015,17:03:00,17:00:00,January,Thursday
39,01-01-2015,17:07:23,17:00:00,January,Thursday
40,01-01-2015,17:14:36,17:00:00,January,Thursday
41,01-01-2015,17:15:20,17:00:00,January,Thursday
42,01-01-2015,17:28:09,17:00:00,January,Thursday
43,01-01-2015,17:38:34,17:00:00,January,Thursday
44,01-01-2015,17:54:20,17:00:00,January,Thursday
45,01-01-2015,17:55:48,17:00:00,January,Thursday
46,01-01-2015,18:25:51,18:00:00,January,Thursday
47,01-01-2015,18:26:34,18:00:00,January,Thursday
